seq,t_offset_s,query_type,params,status,source,latency_ms,error
135,70.05449698200027,Q2,"{""team"": ""palestino""}",200,cache,5.0501440000516595,
136,70.25713639800051,Q2,"{""team"": ""cobresal""}",200,cache,5.529709999791521,
137,72.59340765199977,Q1,"{""team"": ""ucatolica""}",200,cache,2.9074179992676363,
138,73.33753299900036,Q2,"{""team"": ""colocolo""}",200,cache,15.025118999801634,
139,73.64273794200017,Q3,"{""team_a"": ""laserena"", ""team_b"": ""nublense""}",200,scraper,3434.460204000061,
140,73.7484341520003,Q1,"{""team"": ""laserena""}",200,cache,4.010169999673963,
141,74.01409617700028,Q1,"{""team"": ""cobresal""}",200,cache,11.097106999841344,
142,74.10380978400008,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""laserena""}",200,scraper,4999.159348999456,
143,74.75215294000009,Q3,"{""team_a"": ""everton"", ""team_b"": ""udechile""}",200,cache,3.1338729995695758,
144,75.25999130400032,Q5,{},200,cache,4.305688000385999,
145,75.36358099300014,Q1,"{""team"": ""nublense""}",200,cache,3.6654689993156353,
146,75.91997191100018,Q1,"{""team"": ""coquimbo""}",200,cache,3.1748029996379046,
147,76.30369520499971,Q4,"{""date_from"": ""2026-07-19"", ""date_to"": ""2026-07-25""}",200,scraper,8265.358841999841,
148,76.50780582100015,Q2,"{""team"": ""audax""}",200,cache,7.254138000462262,
149,76.86777168200024,Q3,"{""team_a"": ""depconce"", ""team_b"": ""udechile""}",200,cache,3.2199899997067405,
150,76.95623118500043,Q4,"{""date_from"": ""2026-06-07"", ""date_to"": ""2026-06-13""}",200,scraper,8251.223439000569,
151,77.42373837000014,Q4,"{""date_from"": ""2026-05-03"", ""date_to"": ""2026-05-09""}",200,scraper,12875.556088999474,
152,78.21962506,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""palestino""}",200,scraper,11527.11336900029,
153,79.30343109600017,Q2,"{""team"": ""laserena""}",200,cache,4.209331999845745,
154,79.41702147100023,Q2,"{""team"": ""ulacalera""}",200,cache,4.66400299956149,
155,79.60212310400038,Q1,"{""team"": ""ucatolica""}",200,cache,3.6835529999734717,
